Time(s);12V Voltage(mV);12V Current(mA);3V3 Voltage(mV);3V3 Current(mA);Board Power(mW)
1730733649.646305384;11794;2838;3289;859;56643
1730733649.852778847;11939;2881;3285;778;58199
1730733650.058992443;11939;2881;3285;778;58199
1730733650.265327833;11849;2908;3288;784;59833
1730733650.471628358;11849;2908;3288;784;59833
1730733650.678003727;11849;2835;3287;784;58415
1730733650.884439865;11849;2835;3287;784;58415
1730733651.090631950;11862;2819;3287;765;57799
1730733651.296890369;11862;2819;3287;765;57799
1730733651.503196318;11843;2825;3287;862;57234
1730733651.709503191;11843;2825;3287;862;57234
1730733651.915772029;11843;2798;3291;848;58898
1730733652.121953739;11843;2798;3291;848;57806
1730733652.328206052;11833;2803;3286;813;57806
1730733652.534464020;11820;2843;3287;792;57286
1730733652.740644536;11820;2843;3287;792;57286
1730733652.946914661;11846;2852;3288;832;57974
1730733653.153233596;11846;2852;3288;832;57974
1730733653.359389900;11843;2798;3288;786;58132
1730733653.565615353;11843;2798;3288;786;58132
1730733653.771895766;11840;2752;3288;837;57861
1730733653.978270556;11840;2752;3288;837;57861
1730733654.184556118;11840;2849;3291;851;56398
1730733654.390744332;11840;2849;3291;851;56398
1730733654.596917637;11820;2924;3286;802;59135
1730733654.803271668;11820;2924;3286;802;59135
1730733655.009581399;11804;2927;3287;853;59583
1730733655.215803882;11804;2927;3287;853;59583
1730733655.422175526;11827;2865;3287;808;58758
1730733655.628500817;11827;2865;3287;808;58354
1730733655.834723674;11604;2897;3288;835;58354
1730733656.041070122;11794;2908;3288;837;57510
1730733656.247397330;11794;2908;3288;837;57510
1730733656.453740937;11830;2784;3287;805;58476
1730733656.659999324;11830;2784;3287;805;58476
1730733656.866236266;11830;2860;3287;827;55724
1730733657.072703456;11830;2860;3287;827;55724
1730733657.279033346;11833;2715;3287;794;58887
1730733657.485367770;11833;2715;3287;794;58887
1730733657.691669380;11833;2795;3287;792;54757
1730733657.898046985;11833;2795;3287;792;54757
1730733658.104445070;11830;2951;3287;789;56388
1730733658.310781150;11830;2951;3287;789;56388
1730733658.517072030;11823;2782;3287;837;57640
1730733658.723313284;11823;2782;3287;837;57640
1730733658.929613073;11836;2946;3290;832;56601
1730733659.135881493;11836;2946;3290;832;60113
1730733659.342181887;11830;2905;3287;862;60113
1730733659.548672845;11830;2905;3287;843;59358
1730733659.754934353;11637;2787;3287;843;59358
1730733659.961344105;11817;2841;3289;856;56451
1730733660.167786758;11817;2841;3289;856;56451
1730733660.374943271;11443;2991;3287;797;57704
1730733660.581993118;11443;2991;3287;797;57704
1730733660.789070497;11849;2884;3286;786;59605
1730733660.995546107;11849;2884;3286;786;59605
1730733661.201808588;11836;2903;3287;843;58586
1730733661.408054006;11836;2903;3287;843;58586
1730733661.614345065;11843;2798;3287;819;58878
1730733661.820593110;11843;2798;3287;819;58878
1730733662.026975362;11820;2889;3288;784;56482
1730733662.233221384;11820;2889;3288;784;56482
1730733662.439470761;11840;2798;3289;848;57734
1730733662.645772980;11840;2798;3289;848;55681
1730733662.852007119;11830;2811;3287;832;55681
1730733663.058212731;11830;2811;3285;851;58096
1730733663.264524645;11575;2868;3285;851;58096
1730733663.470830160;11820;2830;3287;781;57217
1730733663.677345573;11820;2830;3287;781;57217
1730733663.883464173;11765;2819;3288;851;57193
1730733664.089769478;11765;2819;3288;851;57193
1730733664.296030829;11843;2784;3288;816;58855
1730733664.502230486;11843;2784;3288;816;58855
1730733664.708515446;11830;2819;3287;786;58193
1730733664.914792075;11830;2819;3287;786;58193
1730733665.121175474;11830;2903;3287;819;55674
1730733665.327391332;11830;2903;3287;819;55674
1730733665.533638196;11807;2809;3290;853;60513
1730733665.739987433;11807;2809;3290;853;60513
1730733665.946248559;11823;2886;3288;776;55951
1730733666.152821997;11823;2886;3288;776;58996
1730733666.359122730;11814;2693;3287;840;58996
1730733666.565571799;11814;2693;3287;840;55205
1730733666.771808384;11749;2978;3287;835;55205
1730733666.977997460;11817;2903;3289;819;59013
1730733667.184342041;11817;2903;3289;819;59013
1730733667.390566320;11833;2881;3288;840;58665
1730733667.596943833;11833;2881;3288;840;58665
1730733667.803212207;11827;2889;3285;805;58916
1730733668.009622805;11827;2889;3285;805;58916
1730733668.215912482;11823;2929;3287;800;57572
1730733668.422330283;11823;2929;3287;800;57572
1730733668.628762334;11840;2860;3289;794;58871
1730733668.835105519;11840;2860;3289;794;58871
1730733669.041515144;11836;2878;3287;878;57387
1730733669.247827309;11836;2878;3287;878;57387
1730733669.454205646;11827;2878;3289;800;59953
1730733669.660698175;11827;2878;3289;800;57920
1730733669.866939161;11830;2774;3287;792;57920
1730733670.073337385;11830;2774;3287;792;56259
