Time(s);12V Voltage(mV);12V Current(mA);3V3 Voltage(mV);3V3 Current(mA);Board Power(mW)
1717600051.901210494;11869;2387;3287;845;45229
1717600052.407820321;11872;2395;3287;773;46465
1717600052.914272639;11878;2446;3284;778;45088
1717600053.420606652;11865;2457;3288;768;45655
1717600053.927063512;11865;2457;3288;768;45655
1717600054.433692910;11804;2379;3286;781;45610
1717600054.940194479;11872;2427;3286;805;45262
1717600055.446712286;11975;2331;3286;768;46127
1717600055.953247120;11881;2387;3287;853;45094
1717600056.459771210;11856;2446;3288;805;45305
1717600056.966237743;11859;2484;3286;757;44222
1717600057.472784910;11878;2371;3289;843;46646
1717600057.979150175;11827;2527;3286;765;44314
1717600058.485617859;11827;2527;3286;765;44314
1717600058.992212359;11965;2449;3287;845;46194
1717600059.498954751;11875;2384;3287;760;46948
1717600060.005228139;11881;2492;3287;800;44220
1717600060.512060557;11881;2336;3290;840;45858
1717600061.018664516;11869;2454;3287;770;43430
1717600061.525131037;11885;2339;3288;821;45935
1717600062.031663937;11843;2374;3287;789;43994
1717600062.538180731;11856;2451;3287;824;45988
1717600063.044657065;11856;2451;3287;824;45988
1717600063.551090167;11869;2502;3287;835;45972
1717600064.057619175;11862;2425;3287;757;46769
1717600064.564183998;11923;2365;3288;837;44853
1717600065.070588514;11875;2360;3285;819;46029
1717600065.577338375;11466;2459;3288;832;45174
1717600066.084720485;11475;2398;3284;843;45384
1717600066.592078502;11475;2575;3287;778;43761
1717600067.098635883;11475;2575;3287;778;46320
1717600067.605098808;11888;2368;3287;827;46320
1717600068.111566496;11898;2427;3287;762;45281
1717600068.617977912;11881;2462;3285;856;45690
1717600069.124545837;11788;2398;3287;843;46796
1717600069.631103452;11888;2441;3288;832;45392
1717600070.137714733;11878;2398;3287;824;44728
1717600070.644171965;11859;2462;3287;813;47167
1717600071.150652712;11862;2430;3286;811;45932
1717600071.657050227;11862;2430;3286;811;45074
1717600072.163459218;11875;2457;3287;813;45074
1717600072.669912218;11846;2465;3288;845;44799
1717600073.176384881;11859;2478;3288;829;45918
1717600073.682823131;11869;2443;3287;800;46981
1717600074.189317671;11865;2441;3288;837;47087
1717600074.695733959;11678;2406;3290;837;45797
1717600075.202138434;11972;2400;3286;797;45598
1717600075.708576346;11872;2363;3289;786;45973
1717600076.215136079;11872;2363;3289;786;44616
1717600076.721566582;11859;2422;3286;856;44616
1717600077.228557487;11617;2395;3289;835;46054
1717600077.735304453;11975;2419;3287;832;43931
1717600078.241893458;11698;2339;3287;832;45982
1717600078.748407571;11885;2414;3287;843;43186
1717600079.254960917;11740;2368;3284;792;45952
1717600079.761283589;11875;2416;3287;832;43849
1717600080.268109072;11466;2476;3288;792;45903
1717600080.775388354;11466;2476;3288;792;45903
1717600081.281966191;11881;2374;3287;802;44549
1717600081.788696490;11865;2484;3287;770;44709
1717600082.295128608;11869;2382;3285;800;46907
1717600082.801563924;11875;2395;3289;776;44628
1717600083.308151709;11775;2516;3287;835;44596
1717600083.814554380;11888;2398;3289;835;46493
1717600084.321125290;11865;2408;3287;837;45534
1717600084.827878651;11878;2435;3287;800;44577
1717600085.334273001;11878;2435;3287;800;44577
1717600085.840679962;11811;2443;3285;800;44587
1717600086.347184579;11881;2406;3287;765;46024
1717600086.853652020;11881;2384;3287;762;45575
1717600087.360271988;11888;2425;3287;760;44887
1717600087.866724717;11878;2419;3289;819;45627
1717600088.373175155;11872;2371;3285;762;45473
1717600088.879718875;11872;2416;3286;843;45305
1717600089.386093294;11872;2416;3286;843;45181
1717600089.892663166;11782;2414;3286;784;45181
1717600090.399204111;11878;2425;3286;808;45581
1717600090.905750541;11881;2395;3289;808;45962
1717600091.412367700;11965;2357;3288;843;46138
1717600091.918868932;11881;2454;3288;832;45614
1717600092.425518229;11862;2500;3287;816;44732
1717600092.931890805;11875;2422;3287;835;45449
1717600093.438396131;11859;2403;3286;765;46108
1717600093.944914870;11859;2403;3286;765;46160
1717600094.451482357;11862;2497;3285;811;46160
1717600094.957992203;11859;2382;3286;819;46854
1717600095.464600537;11968;2459;3285;811;44938
1717600095.971101752;11869;2414;3284;776;46758
1717600096.477579667;11965;2446;3287;760;46191
1717600096.984152063;11859;2524;3287;816;46165
1717600097.490714704;11872;2360;3285;773;47530
1717600097.997134390;11869;2403;3287;829;44277
1717600098.503740443;11869;2403;3287;829;45420
1717600099.010222809;11881;2430;3287;808;45420
1717600099.516660210;11859;2489;3287;757;45751
1717600100.023121427;11865;2430;3287;843;46385
1717600100.529833782;11849;2433;3286;805;45674
1717600101.036524229;11968;2470;3287;768;46174
1717600101.543048812;11901;2443;3287;786;46260
1717600102.049664559;11869;2349;3288;786;45228
1717600102.556342235;11878;2384;3288;813;44404
1717600103.063135531;11878;2384;3288;813;44404
1717600103.570491614;11482;2433;3287;827;45151
1717600104.077784871;11472;2395;3287;802;43868
1717600104.584436592;11875;2395;3288;773;44247
1717600105.091013254;11862;2379;3288;786;45480
1717600105.597350820;11862;2403;3287;784;45203
1717600106.103726501;11952;2484;3290;851;45270
1717600106.610227751;11875;2400;3286;792;47412
1717600107.116723612;11878;2406;3289;827;45530
1717600107.623098182;11878;2406;3289;827;45530
1717600108.129535059;11859;2411;3288;786;46008
1717600108.636061758;11952;2425;3288;851;46512
1717600109.142576842;11859;2411;3287;784;47241
1717600109.649074507;11878;2398;3287;760;45847
1717600110.155549592;11875;2430;3287;792;44797
1717600110.661876080;11865;2473;3288;781;45026
1717600111.168378755;11898;2489;3287;789;46821
1717600111.674754220;11898;2489;3287;792;47419
