Time(s);12V Voltage(mV);12V Current(mA);3V3 Voltage(mV);3V3 Current(mA);Board Power(mW)
1730305070.922255977;11759;3539;3288;851;77431
1730305071.128832298;11830;3622;3287;862;77431
1730305071.335267889;11830;3622;3287;862;77431
1730305071.541667142;11769;3413;3287;786;77020
1730305071.747951226;11769;3413;3287;786;77020
1730305071.954491324;11769;3413;3287;786;77020
1730305072.160770163;11762;3625;3287;776;73986
1730305072.367108603;11762;3625;3287;776;73986
1730305072.573490394;11762;3625;3287;776;73986
1730305072.779783784;11852;3577;3287;845;77956
1730305072.986186658;11852;3577;3287;845;77956
1730305073.192574704;11852;3577;3287;845;76900
1730305073.399039944;11759;3609;3284;845;76900
1730305073.605342991;11759;3609;3284;845;76900
1730305073.811690648;11756;3585;3287;789;78051
1730305074.018073258;11756;3585;3287;789;78051
1730305074.224538350;11756;3585;3287;789;78051
1730305074.430953449;11762;3609;3289;781;77134
1730305074.637382901;11762;3609;3289;781;77134
1730305074.843652987;11762;3609;3289;781;77134
1730305075.050145873;11743;3598;3287;811;76806
1730305075.256515223;11743;3598;3287;811;76806
1730305075.462942289;11743;3598;3287;811;76806
1730305075.669292960;11698;3488;3287;816;78093
1730305075.875903515;11698;3488;3287;816;78093
1730305076.082369009;11698;3488;3287;794;76697
1730305076.288675143;11501;3671;3287;794;76697
1730305076.495156710;11501;3671;3287;794;76697
1730305076.701573135;11765;3475;3288;829;77366
1730305076.907911178;11765;3475;3288;829;77366
1730305077.114237450;11765;3475;3288;829;77366
1730305077.320580762;11775;3448;3287;765;76176
1730305077.527048170;11775;3448;3287;765;76176
1730305077.733485876;11775;3448;3287;765;76176
1730305077.939722811;11765;3467;3289;832;74254
1730305078.146132563;11765;3467;3289;832;74254
1730305078.352587610;11765;3467;3289;832;75940
1730305078.558903246;11685;3547;3287;848;75940
1730305078.765560369;11685;3547;3287;848;75940
1730305078.971964377;11769;3523;3287;835;75548
1730305079.178371944;11769;3523;3287;835;75548
1730305079.384732428;11769;3523;3287;835;75548
1730305079.591215817;11743;3561;3287;811;76572
1730305079.797605653;11743;3561;3287;811;76572
1730305080.003858884;11743;3561;3287;811;76572
1730305080.210381403;11366;3442;3287;808;77327
1730305080.417648995;11366;3442;3287;808;77327
1730305080.625026794;11366;3442;3287;808;73864
1730305080.832245108;11346;3612;3290;824;73864
1730305081.038714571;11346;3612;3290;824;73864
1730305081.244937894;11733;3552;3287;789;75170
1730305081.451344918;11733;3552;3287;789;75170
1730305081.657885156;11733;3552;3287;789;75170
1730305081.864365763;11778;3558;3287;813;76486
1730305082.070766479;11778;3558;3287;813;76486
1730305082.277119490;11778;3558;3287;813;76486
1730305082.483535144;11765;3485;3287;808;77585
1730305082.689843752;11765;3485;3287;808;77585
1730305082.896255211;11765;3485;3287;808;77585
1730305083.102779289;11762;3574;3287;829;76730
1730305083.309136261;11762;3574;3287;829;76730
1730305083.515609092;11627;3598;3287;819;77031
1730305083.722143696;11627;3598;3287;819;77031
1730305083.928544987;11627;3598;3287;819;77031
1730305084.134943334;11772;3499;3287;784;77213
1730305084.341265918;11772;3499;3287;784;77213
1730305084.547602332;11772;3499;3287;784;77213
1730305084.754013296;11759;3574;3287;845;76057
1730305084.960347960;11759;3574;3287;845;76057
1730305085.166918889;11759;3574;3287;845;76057
1730305085.373309960;11637;3464;3288;762;77869
1730305085.579843375;11637;3464;3288;762;77869
1730305085.786371539;11637;3464;3288;762;75444
1730305085.992804151;11772;3448;3288;840;75444
1730305086.199240331;11772;3448;3288;840;75444
1730305086.405632304;11772;3499;3287;821;77815
1730305086.611994200;11772;3499;3287;821;77815
1730305086.818378143;11772;3499;3287;821;77815
1730305087.024869313;11740;3518;3288;851;75281
1730305087.231155915;11740;3518;3288;851;75281
1730305087.437484488;11740;3518;3288;851;75281
1730305087.643911294;11759;3413;3286;773;75986
1730305087.850362320;11759;3413;3286;773;75986
1730305088.056819331;11759;3413;3286;773;75304
1730305088.263109991;11749;3518;3288;805;75304
1730305088.469476393;11749;3518;3288;805;75304
1730305088.675870447;11724;3483;3288;824;76668
1730305088.882342190;11724;3483;3288;824;76668
1730305089.088717446;11724;3483;3288;824;76668
1730305089.295131686;11775;3480;3287;829;75837
1730305089.501472818;11775;3480;3287;829;75837
1730305089.707819806;11775;3480;3287;829;75837
1730305089.914332846;11765;3544;3285;819;76391
1730305090.120722776;11765;3544;3285;819;76391
1730305090.327141301;11765;3544;3285;819;76391
1730305090.533622346;11778;3518;3287;762;75935
1730305090.739863276;11778;3518;3287;762;75935
1730305090.946273610;11756;3488;3288;843;76077
1730305091.152696088;11756;3488;3288;843;76077
1730305091.359241292;11756;3488;3288;843;76077
