Time(s);12V Voltage(mV);12V Current(mA);3V3 Voltage(mV);3V3 Current(mA);Board Power(mW)
1730374704.295568806;11485;2527;3290;819;44999
1730374704.502100040;11997;2398;3287;835;47085
1730374704.708472285;11997;2398;3287;835;47085
1730374704.914753947;11997;2398;3287;768;46860
1730374705.121215209;11701;2435;3287;768;46860
1730374705.327596783;11701;2435;3287;768;46860
1730374705.533891176;11881;2510;3289;778;45601
1730374705.740375399;11881;2510;3289;778;45601
1730374705.946718828;11881;2510;3289;778;45601
1730374706.152880559;11891;2416;3288;819;47573
1730374706.359223524;11891;2416;3288;819;47573
1730374706.565571500;11891;2416;3288;819;47573
1730374706.771953567;11923;2500;3290;797;46305
1730374706.978131799;11923;2500;3290;797;46305
1730374707.184519373;11923;2500;3290;797;46622
1730374707.390816924;11872;2508;3288;789;46622
1730374707.597077477;11872;2508;3288;789;46622
1730374707.803240314;11878;2392;3291;843;48889
1730374708.009666222;11878;2392;3291;843;48889
1730374708.215907883;11878;2392;3291;843;48889
1730374708.422011740;11878;2416;3286;773;47014
1730374708.628447893;11878;2416;3286;773;47014
1730374708.834772898;11878;2416;3286;773;47014
1730374709.041129881;11885;2451;3288;821;46447
1730374709.247433387;11885;2451;3288;821;46447
1730374709.453763397;11885;2451;3288;821;46602
1730374709.660270528;11811;2486;3289;829;46602
1730374709.866720191;11811;2486;3289;829;46602
1730374710.073187572;11862;2468;3286;840;45962
1730374710.279645538;11862;2468;3286;840;45962
1730374710.486195309;11862;2468;3286;840;45962
1730374710.692569472;11869;2390;3289;840;47640
1730374710.899057771;11869;2390;3289;840;47640
1730374711.105430030;11869;2390;3289;840;47640
1730374711.311848139;11630;2486;3287;835;45339
1730374711.518226993;11630;2486;3287;835;45339
1730374711.724755322;11630;2486;3287;835;45339
1730374711.931191039;11856;2510;3286;800;47571
1730374712.137485879;11856;2510;3286;800;47571
1730374712.343940517;11856;2510;3286;776;48467
1730374712.550546750;11585;2516;3287;776;48467
1730374712.757100246;11585;2516;3287;776;48467
1730374712.963775187;11865;2578;3289;797;46507
1730374713.170170265;11865;2578;3289;797;46507
1730374713.376917241;11865;2578;3289;797;46507
1730374713.583308008;11888;2376;3288;811;47439
1730374713.789828037;11888;2376;3288;811;47439
1730374713.996329263;11888;2376;3288;811;47439
1730374714.202914076;11479;2478;3288;829;46677
1730374714.409689970;11479;2478;3288;829;46677
1730374714.616738123;11479;2478;3288;829;46322
1730374714.823328668;11859;2438;3288;843;46322
1730374715.029680843;11859;2438;3288;843;46322
1730374715.235992904;11872;2435;3288;835;47684
1730374715.442309785;11872;2435;3288;835;47684
1730374715.648448677;11872;2435;3288;835;47684
1730374715.855084098;11559;2476;3287;792;46444
1730374716.061452668;11559;2476;3287;792;46444
1730374716.267818644;11559;2476;3287;792;46444
1730374716.474082625;11827;2535;3287;778;46232
1730374716.680503187;11827;2535;3287;778;46232
1730374716.886829051;11827;2535;3287;778;48199
1730374717.093278677;11843;2449;3287;802;48199
1730374717.299673102;11843;2449;3287;802;48199
1730374717.506171521;11885;2459;3286;765;47096
1730374717.712844447;11885;2459;3286;765;47096
1730374717.919108113;11885;2459;3286;765;47096
1730374718.125546949;11865;2433;3287;768;47110
1730374718.331941236;11865;2433;3287;768;47110
1730374718.538207659;11865;2433;3287;768;47110
1730374718.744725869;11862;2470;3287;776;46149
1730374718.950965641;11862;2470;3287;776;46149
1730374719.157189796;11862;2470;3287;776;46149
1730374719.363557258;11878;2510;3287;794;47567
1730374719.569834320;11878;2510;3287;794;47567
1730374719.776281849;11878;2510;3287;848;49482
1730374719.982780280;11691;2433;3287;848;49482
1730374720.189349011;11691;2433;3287;848;49482
1730374720.395815014;11875;2497;3287;843;45887
1730374720.601969422;11875;2497;3287;843;45887
1730374720.808180474;11875;2497;3287;843;45887
1730374721.014514034;11807;2320;3287;789;48467
1730374721.220985576;11807;2320;3287;789;48467
1730374721.427236059;11807;2320;3287;789;48467
1730374721.633521170;11862;2610;3286;856;45792
1730374721.839773497;11862;2610;3286;856;45792
1730374722.046172904;11862;2610;3286;856;49770
1730374722.252636754;11704;2478;3286;840;49770
1730374722.458958537;11704;2478;3286;840;49770
1730374722.665330985;11865;2433;3289;837;48136
1730374722.871799251;11865;2433;3289;837;48136
1730374723.078212501;11865;2433;3289;837;48136
1730374723.284537987;11872;2441;3288;773;46802
1730374723.490917535;11872;2441;3288;773;46802
1730374723.697308238;11872;2441;3288;773;46802
1730374723.903678093;11885;2408;3287;832;47601
1730374724.109950204;11885;2408;3287;832;47601
1730374724.316502506;11885;2408;3287;832;45754
1730374724.522622028;11865;2441;3287;770;45754
1730374724.730883951;11865;2441;3287;770;45754
