Time(s);12V Voltage(mV);12V Current(mA);3V3 Voltage(mV);3V3 Current(mA);Board Power(mW)
1730305198.583842825;11904;2521;3287;832;45864
1730305198.791487719;11904;2521;3287;832;45864
1730305198.999025945;11733;2535;3287;792;46620
1730305199.206187704;11733;2535;3287;792;46620
1730305199.413209033;11733;2535;3287;792;46620
1730305199.620276650;11782;2403;3288;837;45794
1730305199.827316094;11782;2403;3288;837;45794
1730305200.036063836;11782;2403;3288;837;45794
1730305200.243551913;11840;2583;3287;789;45512
1730305200.450555797;11840;2583;3287;789;45512
1730305200.657540326;11840;2583;3287;789;47801
1730305200.864266419;11746;2540;3287;845;47801
1730305201.071260755;11746;2540;3287;845;47801
1730305201.278258340;11840;2473;3287;773;46998
1730305201.485186917;11840;2473;3287;773;46998
1730305201.692588267;11840;2473;3287;773;46998
1730305201.899508759;11704;2564;3287;813;46516
1730305202.105954022;11704;2564;3287;813;46516
1730305202.312378310;11704;2564;3287;813;46516
1730305202.518726149;11875;2357;3286;768;47088
1730305202.725068987;11875;2357;3286;768;47088
1730305202.931381762;11875;2357;3286;768;44259
1730305203.137651923;11852;2441;3288;862;44259
1730305203.343862750;11852;2441;3288;862;44259
1730305203.550154740;11869;2451;3285;811;45249
1730305203.756576779;11869;2451;3285;811;45249
1730305203.963001564;11869;2451;3285;811;45249
1730305204.169311033;11965;2403;3286;781;46080
1730305204.375665933;11965;2403;3286;781;46080
1730305204.582045097;11965;2403;3286;781;46080
1730305204.788437648;11856;2392;3287;845;45124
1730305204.994735161;11856;2392;3287;845;45124
1730305205.200966709;11856;2392;3287;845;45124
1730305205.407261915;11830;2473;3287;859;44817
1730305205.613466010;11830;2473;3287;859;44817
1730305205.819746890;11865;2414;3288;859;46154
1730305206.026088004;11865;2414;3288;859;46154
1730305206.232547728;11865;2414;3288;859;46154
1730305206.438885704;11859;2470;3287;776;46211
1730305206.645327499;11859;2470;3287;776;46211
1730305206.851520423;11859;2470;3287;776;46211
1730305207.057847959;11820;2567;3286;778;46162
1730305207.264069345;11820;2567;3286;778;46162
1730305207.470265693;11820;2567;3286;778;46162
1730305207.676650805;11985;2462;3289;835;46775
1730305207.883044999;11985;2462;3289;835;46775
1730305208.089432775;11985;2462;3289;835;46822
1730305208.295603780;11859;2422;3287;784;46822
1730305208.502065677;11859;2422;3287;784;46822
1730305208.708356186;11872;2344;3287;837;47193
1730305208.914698270;11872;2344;3287;837;47193
1730305209.121093525;11872;2344;3287;837;47193
1730305209.327543628;11833;2470;3285;776;44109
1730305209.533932682;11833;2470;3285;776;44109
1730305209.740407721;11833;2470;3285;776;44109
1730305209.946847988;11914;2422;3287;837;46304
1730305210.153423552;11914;2422;3287;837;46304
1730305210.359772581;11914;2422;3287;837;46184
1730305210.566284367;11707;2422;3287;800;46184
1730305210.772664183;11707;2422;3287;800;46184
1730305210.978985826;11862;2408;3286;786;45043
1730305211.185358864;11862;2408;3286;786;45043
1730305211.391701490;11862;2408;3286;786;45043
1730305211.598064865;11859;2459;3287;794;45491
1730305211.804280349;11859;2459;3287;794;45491
1730305212.010624960;11859;2459;3287;794;45491
1730305212.216913513;11946;2481;3287;862;46040
1730305212.423166354;11946;2481;3287;862;46040
1730305212.629607745;11946;2481;3287;862;46040
1730305212.835904048;11972;2403;3287;824;46344
1730305213.042232244;11972;2403;3287;824;46344
1730305213.248674593;11852;2406;3287;819;45799
1730305213.454954565;11852;2406;3287;819;45799
1730305213.661232094;11852;2406;3287;819;45799
1730305213.867484829;11852;2382;3287;784;45968
1730305214.073817982;11852;2382;3287;784;45968
1730305214.280294097;11852;2382;3287;784;45968
1730305214.486771571;11814;2290;3287;821;45244
1730305214.693266141;11814;2290;3287;821;45244
1730305214.899719067;11814;2290;3287;821;45244
1730305215.106304726;11943;2406;3287;797;44417
1730305215.312560674;11943;2406;3287;797;44417
1730305215.518891213;11943;2406;3287;797;45859
1730305215.725360951;11859;2355;3289;762;45859
1730305215.931752764;11859;2355;3289;762;45859
1730305216.138097934;11849;2427;3289;840;44833
1730305216.344394442;11849;2427;3289;840;44833
1730305216.550906279;11849;2427;3289;840;44833
1730305216.757338232;11859;2355;3287;794;45481
1730305216.963688051;11859;2355;3287;794;45481
1730305217.170079494;11859;2355;3287;794;45481
1730305217.376507299;11862;2470;3288;800;43639
1730305217.582891922;11862;2470;3288;800;43639
1730305217.789243095;11862;2470;3288;800;44237
1730305217.995513479;11856;2314;3287;848;44237
1730305218.201967397;11856;2314;3287;848;44237
1730305218.408135638;11801;2374;3288;835;43495
1730305218.614505548;11801;2374;3288;835;43495
1730305218.820800536;11801;2374;3288;835;43495
1730305219.027219210;11846;2449;3287;789;44991
