Running for 60.0 seconds (120 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
17:45:24   0.0   0.0   0.0 100.0   0.0    1   1738   4474    0    0    0  81.90
17:45:24   0.0   0.0   0.1  99.9   0.0    2    508    390    5    4    4  15.19
17:45:25   0.2   0.0   0.2  99.5   0.0    1   1840   1028   11   12    9  17.32
17:45:25   0.0   0.0   0.0 100.0   0.0    1    372    242    0    0    0  14.19
17:45:26   0.0   0.0   0.1  99.9   0.0    1    990    650    9    5   12  15.31
17:45:26   0.0   0.0   0.0 100.0   0.0    1    244    228    0    0    0  14.07
17:45:27   0.0   0.0   0.0 100.0   0.0    1    632    316    0    0    0  14.49
17:45:27   0.0   0.0   0.0 100.0   0.0    1    354    248    0    0    0  14.18
17:45:28   0.0   0.0   0.0 100.0   0.0    1    524    272    0    0    0  14.25
17:45:28   0.0   0.0   0.0 100.0   0.0    1    472    296    0    0    0  14.43
17:45:29   0.0   0.0   0.0  99.9   0.1    1    674    422    0    0    0  14.99
17:45:29   0.0   0.0   0.1  99.9   0.0    1    828    532   12   12    9  15.57
17:45:30   0.0   0.0   0.0 100.0   0.0    1    460    338    0    0    0  14.34
17:45:30   0.0   0.0   0.0 100.0   0.0    1    590    436    9    5   12  14.64
17:45:31   0.0   0.0   0.1  99.9   0.0    1    680    586    9    9    6  15.13
17:45:31   0.0   0.0   0.0 100.0   0.0    1    528    292    0    0    0  14.42
17:45:32   0.0   0.0   0.0 100.0   0.0    1    488    366    3    2    6  14.43
17:45:32   4.6   0.0   0.2  95.1   0.0    2    604    668    6    5    1  38.21
17:45:33   6.1   0.0   0.1  93.7   0.0    2    422    620    0    0    0  45.75
17:45:33   6.1   0.0   0.2  93.6   0.0    2    718    898   14   14   11  47.11
17:45:34   6.1   0.0   0.1  93.6   0.1    2    352    588    0    0    0  46.56
17:45:34   6.1   0.0   0.2  93.6   0.0    2    724    920   13    7   16  47.42
17:45:35   6.1   0.0   0.0  93.9   0.0    2    426    648    0    0    0  46.74
17:45:35   6.2   0.0   0.1  93.6   0.0    2    338    626    0    0    0  47.17
17:45:36   6.0   0.0   0.3  93.7   0.0    2    336    588    0    0    0  46.90
17:45:36   5.5   0.0   0.8  93.8   0.0    2    366    620    0    0    0  48.65
17:45:37   6.4   0.0   0.0  93.6   0.0    2    964    742    0    0    0  59.93
17:45:37   0.6   0.0   0.2  99.1   0.0    1    710    582    1    0    6  20.90
