Running for 60.0 seconds (120 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
19:22:26   0.0   0.0   0.0 100.0   0.0    1    482    430    0    0    0  14.69 
19:22:27   0.0   0.0   0.1  99.9   0.0    1    696    348    4    4    2  14.98 
19:22:27   0.2   0.0   0.1  99.6   0.0    1   1214    912   12   12   11  16.36 
19:22:28   0.0   0.0   0.0 100.0   0.0    1    400    242    0    0    0  14.18 
19:22:28   0.2   0.0   0.2  99.5   0.0    2    990    612   15   10   13  16.60 
19:22:29   6.2   0.0   0.0  93.8   0.0    2    546    742    0    0    0  45.66 
19:22:29   6.3   0.0   0.1  93.5   0.1    2    796    774   14   14   11  47.34 
19:22:30   6.1   0.0   0.1  93.8   0.0    2    398    700    0    0    0  46.71 
19:22:30   6.1   0.0   0.1  93.7   0.0    2    706    664   13    7   16  47.38 
19:22:31   6.2   0.0   0.0  93.8   0.0    2    494    900    0    0    0  46.86 
19:22:31   6.0   0.0   0.3  93.7   0.0    2    428    686    0    0    0  47.07 
19:22:32   6.1   0.0   0.4  93.5   0.0    2    754    924   12   12    9  47.50 
19:22:32   6.1   0.0   0.0  93.9   0.0    2    312    476    0    0    0  46.67 
19:22:33   5.6   0.0   0.8  93.6   0.0    2    978    846    9    5   12  52.93 
19:22:33   4.7   0.0   0.2  95.0   0.0    1   1002    838    1    1    5  49.54 
19:22:34   0.0   0.0   0.0 100.0   0.0    1    488    284    0    0    0  14.52 
19:22:34   0.1   0.0   0.0  99.8   0.1    1    654    344   10   10    7  15.20 
19:22:35   0.0   0.0   0.0 100.0   0.0    1    382    506    0    0    0  14.44 
19:22:35   0.0   0.0   0.0 100.0   0.0    1    468    274    5    3    8  14.48 
19:22:36   0.0   0.0   0.0 100.0   0.0    1    396    390    0    0    0  14.61 
19:22:36   0.0   0.0   0.0 100.0   0.0    1    272    190    0    0    0  14.10 
19:22:37   0.0   0.0   0.0 100.0   0.0    1    456    294    0    0    0  14.41 
19:22:37   0.0   0.0   0.0 100.0   0.0    1    368    222    0    0    0  14.32 
19:22:38   0.0   0.0   0.0 100.0   0.0    1    320    226    0    0    0  14.19 
19:22:38   0.0   0.0   0.0 100.0   0.0    1    312    214    0    0    0  14.13 
19:22:39   0.0   0.0   0.0 100.0   0.0    1    420    274    0    0    0  14.24 
19:22:39   0.0   0.0   0.0  99.9   0.1    1    364    234    0    0    0  14.17 
19:22:40   0.0   0.0   0.1  99.9   0.0    1    306    226    0    0    0  14.16 
19:22:40   0.0   0.0   0.0 100.0   0.0    1    272    220    0    0    0  14.10 
19:22:41   0.0   0.0   0.0 100.0   0.0    1    344    240    0    0    0  14.11 
19:22:41   0.0   0.0   0.0 100.0   0.0    1    300    198    0    0    0  14.08 
19:22:42   0.0   0.0   0.0 100.0   0.0    1    328    218    0    0    0  14.20 
19:22:42   0.0   0.0   0.0 100.0   0.0    1    336    224    0    0    0  14.19 
19:22:43   0.0   0.0   0.0 100.0   0.0    1    384    268    0    0    0  14.25 
19:22:43   0.0   0.0   0.0 100.0   0.0    1    548    424    3    3    1  14.78 
19:22:44   0.0   0.0   1.0  99.0   0.0    2    882   2598    0    0    0  54.20 
19:22:44   6.1   0.0   0.3  93.6   0.0    2   1822   4656   12   12    9  91.28 
19:22:45   6.2   0.0   0.1  93.6   0.0    2    876   4336    0    0    0  92.79 
19:22:45   6.3   0.0   0.1  93.6   0.0    2   1292   1764    9    5   12  55.70 
19:22:46   6.1   0.0   0.1  93.8   0.0    2    332    550    0    0    0  47.15 
19:22:46   6.2   0.0   0.0  93.8   0.0    2    296    636    0    0    0  47.33 
19:22:47   6.2   0.0   0.1  93.6   0.0    2    378    640    0    0    0  46.95 
19:22:47   6.0   0.0   0.1  93.9   0.0    2    324    624    0    0    0  46.92 
19:22:48   6.2   0.0   0.1  93.6   0.0    2    348    644    0    0    0  47.00 
19:22:48   6.1   0.0   0.0  93.9   0.0    2    328    646    0    0    0  46.96 
19:22:49   2.0   0.0   0.9  97.0   0.1    2   7988   4196    1    0    0  42.65 
19:22:49   2.6   0.0   0.2  97.1   0.0    1   8912   4826   12   12    9  43.04 
19:22:50   2.5   0.0   0.0  97.5   0.0    2   8504   4468    0    0    0  42.09 
19:22:50   2.5   0.0   0.1  97.4   0.0    1   8782   4690    9    5   12  42.37 
19:22:51   0.2   0.0   0.2  99.5   0.0    1   1610   1006    1    0    4  19.78 
19:22:51   0.0   0.0   0.0 100.0   0.0    1    360    254    0    0    0  14.37 
19:22:52   0.1   0.0   0.1  99.8   0.0    1   1440    700    4    4    4  16.16 
19:22:52   0.0   0.0   0.0 100.0   0.0    1    440    258    0    0    0  14.37 
19:22:53   0.0   0.0   0.0 100.0   0.0    1    332    264    0    0    0  14.13 
19:22:53   0.0   0.0   0.0 100.0   0.0    1    372    236    0    0    0  14.21 
19:22:54   0.0   0.0   0.0 100.0   0.0    1    400    256    0    0    0  14.24 
19:22:54   0.0   0.0   0.1  99.8   0.1    1    620    580    9    9    6  15.28 
19:22:55   0.1   0.0   0.0  99.9   0.0    1    748    362    0    0    0  14.81 
