Time(s);12V Voltage(mV);12V Current(mA);3V3 Voltage(mV);3V3 Current(mA);Board Power(mW)
1730305602.360387028;11898;2382;3284;765;44038
1730305602.566794424;11888;2414;3287;819;45178
1730305602.773270692;11888;2414;3287;819;45178
1730305602.979662469;11888;2414;3287;819;45178
1730305603.186104338;11872;2489;3284;778;44922
1730305603.392505149;11872;2489;3284;778;44922
1730305603.599037945;11872;2489;3284;778;46106
1730305603.805520524;11820;2449;3286;786;46106
1730305604.011872919;11820;2449;3286;786;46106
1730305604.218288789;11888;2365;3286;778;45624
1730305604.424710405;11888;2365;3286;778;45624
1730305604.631113618;11888;2365;3286;778;45624
1730305604.837480625;11885;2371;3286;762;45800
1730305605.043835234;11885;2371;3286;762;45800
1730305605.250805357;11885;2371;3286;762;45800
1730305605.457997792;11495;2333;3287;786;44510
1730305605.665317654;11495;2333;3287;786;44510
1730305605.872549478;11495;2333;3287;786;43955
1730305606.079805651;11491;2363;3287;821;43955
1730305606.286938914;11491;2363;3287;821;43955
1730305606.493954161;11907;2384;3288;848;43477
1730305606.700446673;11907;2384;3288;848;43477
1730305606.906945991;11907;2384;3288;848;43477
1730305607.113392845;11894;2384;3286;797;45975
1730305607.319876270;11894;2384;3286;797;45975
1730305607.526484653;11894;2384;3286;797;45975
1730305607.732841737;11891;2398;3288;837;44255
1730305607.939139036;11891;2398;3288;837;44255
1730305608.145473627;11891;2398;3288;837;44255
1730305608.351780107;11875;2465;3287;784;44991
1730305608.558222287;11875;2465;3287;784;44991
1730305608.764646863;11888;2382;3287;832;46181
1730305608.970964534;11888;2382;3287;832;46181
1730305609.177283745;11888;2382;3287;832;46181
1730305609.383595531;11894;2427;3287;778;44901
1730305609.589899192;11894;2427;3287;778;44901
1730305609.796117228;11894;2427;3287;778;44901
1730305610.002532472;11888;2376;3287;773;45155
1730305610.208852256;11888;2376;3287;773;45155
1730305610.415241059;11888;2376;3287;773;45155
1730305610.621635081;11894;2374;3287;816;45046
1730305610.827894730;11894;2374;3287;816;45046
1730305611.034295303;11894;2374;3287;816;45723
1730305611.240673152;11910;2368;3290;778;45723
1730305611.447078838;11910;2368;3290;778;45723
1730305611.653504068;11875;2349;3285;784;44567
1730305611.859775560;11875;2349;3285;784;44567
1730305612.066429820;11875;2349;3285;784;44567
1730305612.273078232;11888;2352;3288;840;45508
