Time(s);12V Voltage(mV);12V Current(mA);3V3 Voltage(mV);3V3 Current(mA);Board Power(mW)
1730371001.336202620;11885;2416;3290;827;47169
1730371001.542495848;11885;2416;3290;827;47169
1730371001.748910362;11875;2484;3288;816;47787
1730371001.955361683;11875;2484;3288;816;47787
1730371002.161687748;11881;2537;3287;864;47484
1730371002.368122248;11881;2537;3287;864;47484
1730371002.574283742;11872;2357;3287;773;49334
1730371002.780622916;11872;2357;3287;773;49334
1730371002.986867568;11862;2529;3287;792;45462
1730371003.193230384;11862;2529;3287;792;45462
1730371003.399682972;11862;2529;3289;840;48184
1730371003.605984375;11862;2529;3289;840;48443
1730371003.812437801;11869;2425;3287;824;48443
1730371004.018863224;11869;2425;3287;824;46550
1730371004.225154742;11885;2411;3288;773;46550
1730371004.431503952;11959;2521;3286;837;46305
1730371004.637839056;11959;2521;3286;837;46305
1730371004.844301508;11862;2494;3287;816;48603
1730371005.050498376;11862;2494;3287;816;48603
1730371005.256985498;11466;2572;3287;816;48385
1730371005.464187412;11466;2572;3287;816;48385
1730371005.671325998;11488;2497;3287;843;46794
1730371005.878435090;11488;2497;3287;843;46794
1730371006.085584317;11479;2427;3290;811;46039
1730371006.292637652;11479;2427;3290;811;46039
1730371006.499524519;11485;2446;3288;837;44466
1730371006.705911704;11485;2446;3288;837;44466
1730371006.912197407;11878;2470;3287;792;46004
1730371007.118636047;11878;2470;3287;792;47096
1730371007.325088664;11891;2486;3289;802;47096
1730371007.531391019;11891;2486;3289;773;48351
1730371007.737744735;11630;2400;3287;773;48351
1730371007.944134627;11878;2548;3287;837;46095
1730371008.150388725;11878;2548;3287;837;46095
1730371008.356584414;11872;2543;3287;837;48015
1730371008.562924585;11872;2543;3287;837;48015
1730371008.769231979;11869;2519;3286;781;47658
1730371008.975615274;11869;2519;3286;781;47658
1730371009.181828291;11685;2457;3287;786;48042
1730371009.388089357;11685;2457;3287;786;48042
1730371009.594362481;11891;2535;3288;853;46363
1730371009.800820874;11891;2535;3288;853;46363
1730371010.007142058;11727;2494;3288;832;49326
1730371010.213445706;11727;2494;3288;832;49326
1730371010.419702917;11881;2443;3288;827;48395
1730371010.626092553;11881;2443;3288;827;47733
1730371010.832456369;11878;2545;3286;794;47733
1730371011.038741950;11878;2545;3286;794;48659
1730371011.245183613;11888;2451;3287;797;48659
1730371011.451450111;11885;2492;3286;792;47771
1730371011.657693733;11885;2492;3286;792;47771
1730371011.864126041;11878;2392;3285;824;47526
1730371012.070401849;11878;2392;3285;824;47526
1730371012.276694868;11875;2519;3288;853;45590
1730371012.483030624;11875;2519;3288;853;45590
1730371012.689551724;11869;2478;3287;829;48477
1730371012.895835823;11869;2478;3287;829;48477
1730371013.102161966;11801;2438;3288;813;49032
1730371013.308577584;11801;2438;3288;813;49032
1730371013.514912615;11865;2502;3284;781;45534
1730371013.721473376;11865;2502;3284;781;45534
1730371013.927702391;11801;2677;3286;786;46460
1730371014.134033609;11801;2677;3286;786;48792
1730371014.340327090;11859;2414;3287;816;48792
1730371014.546847489;11859;2414;3287;816;46422
1730371014.753302071;11804;2548;3285;851;46422
1730371014.959506487;11878;2500;3289;848;48796
1730371015.165820194;11878;2500;3289;848;48796
1730371015.372218922;11778;2516;3288;851;48853
1730371015.578540586;11778;2516;3288;851;48853
1730371015.784689929;11865;2497;3287;813;46883
1730371015.991126628;11865;2497;3287;813;46883
1730371016.197407774;11878;2395;3287;797;46711
1730371016.403709474;11878;2395;3287;797;46711
1730371016.610098077;11878;2470;3287;784;45250
1730371016.816596625;11878;2470;3287;784;45250
1730371017.022986661;11865;2502;3287;773;47693
1730371017.229288674;11865;2502;3287;773;47693
1730371017.435578700;11875;2559;3287;781;46413
1730371017.641993574;11875;2559;3287;781;47055
1730371017.848476473;11869;2527;3288;813;47055
1730371018.054865107;11869;2527;3288;813;48655
1730371018.261238199;11872;2553;3287;770;48655
1730371018.467615447;11865;2586;3288;789;49528
1730371018.673857569;11865;2586;3288;789;49528
1730371018.880093719;11869;2473;3286;781;48089
1730371019.086341173;11869;2473;3286;781;48089
1730371019.292737509;11849;2521;3286;789;46611
1730371019.499049613;11849;2521;3286;789;46611
1730371019.705451286;11869;2489;3286;808;49019
1730371019.911798850;11869;2489;3286;808;49019
1730371020.118273333;11582;2599;3287;811;47638
1730371020.325446413;11582;2599;3287;811;47638
1730371020.532578547;11479;2489;3286;786;48275
1730371020.739502566;11479;2489;3286;786;48275
1730371020.945726189;11875;2465;3287;797;45928
1730371021.152062584;11875;2465;3287;797;47073
1730371021.358405777;11875;2502;3285;840;47073
1730371021.564770748;11875;2502;3285;840;47112
1730371021.771070272;11859;2427;3287;845;47112
